Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
25 thread:big1 25 thread,255,8785,7677,12064,"501,60","0,000%",",83828","1666,70","0,10","2035951,0"
25 thread:big2 25 thread,256,21072,10895,25767,"1483,68","0,000%",",82912","4030,30","0,10","4977620,0"
TOTAL,511,14940,7677,25767,"6242,58","0,000%","1,65500","5672,34","0,21","3509663,8"
