Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
9 thread:big1 9 thread,225,2978,1254,3235,"283,50","0,000%",",75650","1504,10","0,09","2035951,0"
9 thread:big2 9 thread,231,5260,3958,6699,"583,04","0,000%",",75736","3681,52","0,09","4977620,0"
TOTAL,456,4134,1254,6699,"1230,53","0,000%","1,49506","5148,22","0,19","3526138,6"
