Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
6 thread:big1 6 thread,166,2032,1884,2140,"37,85","0,000%",",54960","1092,74","0,07","2035951,0"
6 thread:big2 6 thread,140,3675,2521,4919,"601,64","0,000%",",45986","2235,35","0,06","4977620,0"
TOTAL,306,2784,1884,4919,"914,52","0,000%","1,00511","3319,43","0,12","3381812,6"
