Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
5 thread:big1 5 thread,131,1642,1494,1767,"50,62","0,000%",",43425","863,38","0,05","2035951,0"
5 thread:big2 5 thread,124,3142,2131,4078,"500,30","0,000%",",41865","2035,06","0,05","4977620,0"
TOTAL,255,2371,1494,4078,"827,84","0,000%",",84526","2861,34","0,10","3466409,7"
