Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
14 thread:big1 14 thread,290,4133,1881,5017,"392,26","0,000%",",95797","1904,66","0,12","2035951,0"
14 thread:big2 14 thread,252,9961,5173,11299,"936,58","0,000%",",82578","4014,07","0,10","4977620,0"
TOTAL,542,6843,1881,11299,"2989,90","0,000%","1,77605","5903,39","0,22","3403664,3"
