Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
13 thread:big1 13 thread,266,3773,2043,4552,"376,71","0,000%",",87670","1743,08","0,11","2035951,0"
13 thread:big2 13 thread,263,8968,5052,10363,"911,22","0,000%",",86205","4190,37","0,11","4977620,0"
TOTAL,529,6356,2043,10363,"2689,19","0,000%","1,73393","5923,87","0,22","3498444,3"
