Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
3 thread:big1 3 thread,73,1036,991,1095,"16,08","0,000%",",24742","491,92","0,03","2035951,0"
3 thread:big2 3 thread,80,2031,1520,2479,"327,36","0,000%",",26451","1285,79","0,03","4977620,0"
TOTAL,153,1556,991,2479,"550,84","0,000%",",50588","1765,67","0,06","3574078,6"
