Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
20 thread:big1 20 thread,532,6833,4652,11112,"405,46","0,188%",",75609","1500,46","0,09","2032127,2"
20 thread:big2 20 thread,521,16386,5194,20864,"1555,49","2,495%",",73778","3496,87","0,09","4853461,1"
TOTAL,1053,11559,4652,20864,"4908,21","1,330%","1,49114","4991,91","0,18","3428057,8"
