Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
310 thread:small1 205 thread,7411,3587,158,110864,"4917,05","0,162%","24,18639","597,03","3,04","25277,0"
310 thread:small2 205 thread,7468,4273,1759,130834,"4285,18","0,121%","23,39570","2289,10","2,94","100191,1"
TOTAL,14879,3931,158,130834,"4623,48","0,141%","46,61282","2862,20","5,86","62877,5"
