Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
275 thread:small1 205 thread,6966,3188,204,19370,"1113,41","0,000%","22,86446","565,23","2,88","25314,0"
275 thread:small2 205 thread,6912,3994,1503,20435,"1431,93","0,000%","22,68357","2222,04","2,86","100309,0"
TOTAL,13878,3590,204,20435,"1343,81","0,000%","45,54405","2787,15","5,74","62665,6"
