Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
320 thread:small1 205 thread,7596,3689,229,130962,"4576,07","0,053%","23,32816","576,41","2,94","25302,0"
320 thread:small2 205 thread,7539,4378,2056,130079,"4713,22","0,066%","21,40393","2095,33","2,69","100244,2"
TOTAL,15135,4032,229,130962,"4657,65","0,059%","42,96945","2628,19","5,41","62632,0"
