Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
230 thread:small1 205 thread,5813,2881,71,7772,"1319,73","0,000%","19,13644","473,07","2,41","25314,0"
230 thread:small2 205 thread,5837,4053,1570,9658,"1347,45","0,000%","19,18753","1879,57","2,42","100309,0"
TOTAL,11650,3468,71,9658,"1456,67","0,000%","38,29591","2351,94","4,82","62888,7"
