Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
125 thread:small1 205 thread,3218,886,53,5077,"341,94","0,000%","10,67507","263,90","1,34","25314,0"
125 thread:small2 205 thread,3157,1991,1179,5119,"199,17","0,000%","10,44676","1023,34","1,32","100309,0"
TOTAL,6375,1433,53,5119,"619,39","0,000%","21,09509","1286,57","2,66","62452,7"
