Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
70 thread:small1 60 thread,193,296,7,6765,"935,02","0,000%",",64263","15,89","0,08","25314,0"
70 thread:small2 60 thread,187,1238,759,7041,"568,81","0,000%",",62033","60,77","0,08","100309,0"
70 thread:medium1 60 thread,222,6199,3898,10249,"671,01","0,000%",",72678","355,06","0,09","500266,0"
70 thread:medium2 60 thread,162,12680,8304,17530,"1108,81","0,000%",",52278","519,81","0,07","1018167,0"
70 thread:big1 60 thread,229,25498,14548,27843,"2314,96","0,000%",",72571","1442,87","0,09","2035951,0"
70 thread:big2 70 thread,166,61273,20207,67467,"9023,54","0,000%",",51843","2520,06","0,06","4977620,0"
TOTAL,1159,17023,7,67467,"20486,49","0,000%","3,61954","4855,77","0,45","1373738,7"
