Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
25 thread:small1 25 thread,205,51,8,1645,"126,76","0,000%",",68282","16,88","0,09","25314,0"
25 thread:small2 25 thread,217,222,24,2747,"237,13","0,000%",",72192","70,72","0,09","100309,0"
25 thread:medium1 25 thread,200,926,90,1900,"500,22","0,000%",",66263","323,72","0,08","500266,0"
25 thread:medium2 25 thread,194,1738,172,3312,"821,20","0,000%",",64029","636,64","0,08","1018167,0"
25 thread:big2 25 thread,198,7527,878,13190,"3325,09","0,000%",",64547","3137,61","0,08","4977620,0"
25 thread:big1 25 thread,193,3011,396,6009,"1319,66","0,000%",",64673","1285,84","0,08","2035951,0"
TOTAL,1207,2198,8,13190,"2967,54","0,000%","3,93462","5421,52","0,49","1410970,4"
