Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
10 thread:small1 10 thread,94,80,23,221,"30,48","0,000%",",31324","7,74","0,04","25314,0"
10 thread:medium1 10 thread,79,705,455,931,"108,20","0,000%",",26285","128,41","0,03","500266,0"
10 thread:medium2 10 thread,90,1197,641,1611,"234,47","0,000%",",29895","297,24","0,04","1018167,0"
10 thread:big1 10 thread,93,1806,974,2551,"397,88","0,000%",",31520","626,69","0,04","2035951,0"
10 thread:big2 10 thread,85,2985,1456,4606,"828,42","0,000%",",28041","1363,08","0,03","4977620,0"
10 thread:small2 10 thread,69,221,165,339,"34,03","0,000%",",23452","22,97","0,03","100309,0"
TOTAL,510,1192,23,4606,"1073,27","0,000%","1,68245","2425,53","0,21","1476270,6"
