Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
20 thread:small1 20 thread,156,33,8,400,"42,87","0,000%",",51987","12,85","0,07","25314,0"
20 thread:small2 20 thread,179,163,24,519,"102,33","0,000%",",59575","58,36","0,08","100309,0"
20 thread:medium1 20 thread,178,660,89,1597,"345,94","0,000%",",59032","288,40","0,07","500266,0"
20 thread:medium2 20 thread,169,1271,172,2746,"663,13","0,000%",",55822","555,04","0,07","1018167,0"
20 thread:big1 20 thread,183,2233,352,4661,"1181,99","0,000%",",60135","1195,62","0,07","2035951,0"
20 thread:big2 20 thread,154,4474,932,9920,"2057,80","0,000%",",50242","2442,24","0,06","4977620,0"
TOTAL,1019,1437,8,9920,"1786,54","0,000%","3,32433","4530,82","0,42","1395637,3"
