Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
60 thread:small1 60 thread,178,119,8,740,"125,35","0,000%",",59740","14,77","0,08","25314,0"
60 thread:small2 60 thread,196,988,551,3890,"260,37","0,000%",",65253","63,92","0,08","100309,0"
60 thread:medium1 60 thread,175,5083,3481,7646,"486,50","0,000%",",57323","280,05","0,07","500266,0"
60 thread:medium2 60 thread,166,10534,6804,14378,"857,85","0,000%",",54019","537,11","0,07","1018167,0"
60 thread:big1 60 thread,184,21025,15612,24173,"1385,46","0,000%",",58307","1159,27","0,07","2035951,0"
60 thread:big2 60 thread,197,50047,24494,54629,"6349,14","0,000%",",61164","2973,14","0,08","4977620,0"
TOTAL,1096,15128,8,54629,"18010,79","0,000%","3,40280","4960,11","0,43","1492641,3"
