Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
65 thread:small1 65 thread,178,135,8,4142,"322,79","0,000%",",59499","14,71","0,07","25314,0"
65 thread:small2 65 thread,181,1076,562,1922,"176,98","0,000%",",60112","58,88","0,08","100309,0"
65 thread:medium1 65 thread,192,5643,3298,7397,"555,68","0,000%",",62811","306,86","0,08","500266,0"
65 thread:medium2 65 thread,219,11658,6899,17197,"1286,34","0,000%",",70754","703,51","0,09","1018167,0"
65 thread:big1 65 thread,197,23672,16439,27798,"1582,24","0,000%",",62776","1248,13","0,08","2035951,0"
65 thread:big2 65 thread,175,55448,21247,63588,"8933,46","0,000%",",54476","2648,03","0,07","4977620,0"
TOTAL,1142,15956,8,63588,"18916,67","0,000%","3,55492","4906,01","0,45","1413185,0"
