Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
45 thread:small1 45 thread,206,96,8,3208,"232,74","0,000%",",68630","16,97","0,09","25314,0"
45 thread:small2 45 thread,210,702,369,3687,"338,25","0,000%",",69792","68,37","0,09","100309,0"
45 thread:medium1 45 thread,195,3335,2454,5279,"361,42","0,000%",",64313","314,20","0,08","500266,0"
45 thread:medium2 45 thread,195,6781,4470,9421,"817,70","0,000%",",63932","635,68","0,08","1018167,0"
45 thread:big1 45 thread,211,13497,7520,16497,"1581,29","0,000%",",68611","1364,15","0,09","2035951,0"
45 thread:big2 45 thread,179,33025,11098,36112,"3179,42","0,000%",",57923","2815,59","0,07","4977620,0"
TOTAL,1196,9113,8,36112,"11128,37","0,000%","3,87014","5191,83","0,49","1373707,1"
