procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0  32956  52400 291100    0    0     0     0 1936  620  0 22 78  0  0
 0  0      0  32828  52400 291100    0    0     0    12 1450  630  0  6 94  0  0
 0  0      0  32844  52400 291100    0    0     0     0 1096  535  0  6 94  0  0
 0  0      0  32844  52400 291100    0    0     0     0  876  541  0  2 98  0  0
 0  0      0  32892  52400 291100    0    0     0     0 1191  565  0  8 92  0  0
 1  0      0  32940  52400 291100    0    0     0     0 1409  601  1 15 84  0  0
 0  0      0  33004  52404 291100    0    0     0    16 1204  501  0  5 94  1  0
 0  0      0  33196  52404 291100    0    0     0     0  987  445  0  4 96  0  0
 0  0      0  33228  52404 291100    0    0     0     0  871  447  1  6 93  0  0
 1  0      0  33244  52404 291100    0    0     0     0 1061  495  0  7 93  0  0
 0  0      0  33276  52404 291100    0    0     0     0 1083  465  0  6 94  0  0
 1  0      0  33276  52404 291100    0    0     0    16 1152  553  0  9 91  0  0
 0  0      0  33308  52404 291100    0    0     0     0 1235  507  0 10 90  0  0
 0  0      0  33276  52404 291100    0    0     0     0 1217  511  1 11 88  0  0
 0  0      0  33276  52404 291100    0    0     0     0 1421  490  0  7 93  0  0
 0  0      0  33356  52404 291100    0    0     0     0 1153  483  0  7 93  0  0
 1  0      0  33372  52404 291100    0    0     0    16  928  479  1  6 92  1  0
 0  0      0  33528  52404 291100    0    0     0     0 1006  458  1  9 90  0  0
 0  0      0  33544  52404 291100    0    0     0     0  760  446  0  1 99  0  0
 1  0      0  33560  52404 291100    0    0     0    12 1477  612  0  9 91  0  0
 0  0      0  33544  52404 291104    0    0     0     0 1936  637  0 15 85  0  0
 1  0      0  33464  52404 291104    0    0     0    16 2252  736  0 26 74  0  0
 0  0      0  33368  52404 291104    0    0     0     0 2777  778  1 30 69  0  0
 0  0      0  33336  52404 291104    0    0     0     0 2541  770  0 19 81  0  0
 1  0      0  33320  52404 291108    0    0     0     8 2712  760  1 29 70  0  0
 0  0      0  33320  52404 291108    0    0     0     0 2795  808  1 24 75  0  0
