procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0    512  51344  50852 270936    0    0     0     0 6085  674  2 98  0  0  0
30  0    512  51264  50852 270940    0    0     0     0 5991  719  4 96  0  0  0
29  0    512  51296  50852 270940    0    0     0     0 6017  709  2 98  0  0  0
30  0    512  51296  50852 270940    0    0     0    16 6056  703  1 99  0  0  0
31  0    512  51424  50852 270940    0    0     0     0 6032  662  2 98  0  0  0
35  0    512  51200  50852 270940    0    0     0     0 6105  662  1 99  0  0  0
30  0    512  51296  50852 270944    0    0     0     0 6141  647  0 100  0  0  0
32  0    512  51296  50852 270944    0    0     0     0 6075  664  0 100  0  0  0
30  0    512  51232  50856 270944    0    0     0    16 6092  695  1 99  0  0  0
33  0    512  51360  50856 270944    0    0     0     0 5985  688  1 99  0  0  0
31  0    512  51392  50856 270948    0    0     0     0 5988  675  1 99  0  0  0
31  0    512  51344  50856 270948    0    0     0     0 6044  663  1 99  0  0  0
31  0    512  51376  50856 270948    0    0     0     0 6073  695  0 100  0  0  0
30  0    512  51312  50856 270948    0    0     0    20 6104  696  1 99  0  0  0
32  0    512  51472  50856 270948    0    0     0     0 6064  691  2 98  0  0  0
30  0    512  51360  50856 270952    0    0     0     0 5917  710  1 99  0  0  0
32  0    512  51440  50856 270952    0    0     0     0 6068  636  3 97  0  0  0
30  0    512  51296  50856 270956    0    0     0     0 6111  659  0 100  0  0  0
29  0    512  51520  50856 270956    0    0     0    52 6008  699  1 99  0  0  0
30  0    512  51312  50856 270956    0    0     0     0 6008  668  1 99  0  0  0
31  0    512  51328  50856 270960    0    0     0     0 6051  697  0 100  0  0  0
31  0    512  51248  50856 270960    0    0     0     0 6106  650  2 98  0  0  0
29  0    512  51552  50856 270960    0    0     0     0 6114  662  0 100  0  0  0
34  0    512  51072  50856 270960    0    0     0    32 5979  738  1 99  0  0  0
30  0    512  51328  50856 270960    0    0     0     0 6051  687  1 99  0  0  0
32  0    512  51328  50856 270960    0    0     0     0 6067  663  1 99  0  0  0
31  0    512  51488  50856 270964    0    0     0     0 5980  704  0 100  0  0  0
31  0    512  51280  50856 270964    0    0     0     0 5951  695  2 98  0  0  0
31  0    512  51328  50856 270964    0    0     0    36 6059  719  2 98  0  0  0
32  0    512  51312  50856 270968    0    0     0     0 5932  676  1 99  0  0  0
33  0    512  51360  50856 270968    0    0     0     0 6011  704  0 100  0  0  0
32  0    512  51520  50856 270968    0    0     0     0 5930  811  2 98  0  0  0
31  0    512  51600  50856 270968    0    0     0     0 6016  782  3 97  0  0  0
34  0    512  51520  50860 270968    0    0     0    16 6028  821  2 98  0  0  0
32  0    512  51664  50860 270968    0    0     0     0 6036  803  3 97  0  0  0
29  0    512  51392  50860 270972    0    0     0     0 5961  797  1 99  0  0  0
31  0    512  51392  50860 270972    0    0     0     0 6038  668  2 98  0  0  0
33  0    512  51392  50860 270972    0    0     0     0 6075  646  0 100  0  0  0
28  0    512  51616  50860 270976    0    0     0    16 5927  728  2 98  0  0  0
33  0    512  51408  50860 270976    0    0     0     0 5940  728  1 99  0  0  0
34  0    512  51336  50860 270976    0    0     0     0 5529  641  8 92  0  0  0
33  0    512  51144  50860 270976    0    0     0     0 4884  666 18 82  0  0  0
31  0    512  50864  50860 270980    0    0     0     0 5738  742  6 94  0  0  0
29  0    512  50612  50860 270980    0    0     0    16 4834  706 15 85  0  0  0
31  0    512  50644  50860 270980    0    0     0     0 6041  702  2 98  0  0  0
31  0    512  50788  50860 270980    0    0     0     0 4921  629 16 84  0  0  0
29  0    512  50708  50860 270980    0    0     0     0 6054  673  1 99  0  0  0
30  0    512  50740  50860 270984    0    0     0     0 6029  682  1 99  0  0  0
30  0    512  50488  50864 270984    0    0     0    64 5377  723  9 91  0  0  0
33  0    512  50632  50864 270984    0    0     0     0 5392  699 14 86  0  0  0
33  0    512  50424  50864 270984    0    0     0     0 6025  677  0 100  0  0  0
32  0    512  51172  50864 270988    0    0     0     0 5743  709  3 97  0  0  0
