timeStamp,elapsed,label,responseCode,threadName,success,bytes,sentBytes,URL,Latency
1548427853728,71,HTTP Request small1,200,Thread Group traccia1 misto 1-3,true,25314,129,http://raspberrypi.local/small1.html,4
1548427853831,290,HTTP Request small2,200,Thread Group traccia1 misto 1-16,true,100309,129,http://raspberrypi.local/small2.html,4
1548427854251,47,HTTP Request small1,200,Thread Group traccia1 misto 1-35,true,25314,129,http://raspberrypi.local/small1.html,4
1548427852131,2600,HTTP Request big1,200,Thread Group traccia1 misto 1-1,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427853639,1357,HTTP Request medium1,200,Thread Group traccia1 misto 1-5,true,500266,130,http://raspberrypi.local/medium1.html,5
1548427852970,2158,HTTP Request medium2,200,Thread Group traccia1 misto 1-10,true,1018167,130,http://raspberrypi.local/medium2.html,5
1548427852932,2240,HTTP Request medium2,200,Thread Group traccia1 misto 1-11,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427853919,1353,HTTP Request medium1,200,Thread Group traccia1 misto 1-25,true,500266,130,http://raspberrypi.local/medium1.html,4
1548427855463,30,HTTP Request small1,200,Thread Group traccia1 misto 1-4,true,25314,129,http://raspberrypi.local/small1.html,4
1548427852224,3515,HTTP Request big1,200,Thread Group traccia1 misto 1-18,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427852228,3517,HTTP Request big1,200,Thread Group traccia1 misto 1-19,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427853250,2528,HTTP Request medium2,200,Thread Group traccia1 misto 1-31,true,1018167,130,http://raspberrypi.local/medium2.html,3
1548427854449,1369,HTTP Request medium1,200,Thread Group traccia1 misto 1-29,true,500266,130,http://raspberrypi.local/medium1.html,3
1548427852268,3592,HTTP Request big1,200,Thread Group traccia1 misto 1-26,true,2035951,127,http://raspberrypi.local/big1.html,13
1548427852272,3604,HTTP Request big1,200,Thread Group traccia1 misto 1-23,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427854971,1190,HTTP Request medium1,200,Thread Group traccia1 misto 1-27,true,500266,130,http://raspberrypi.local/medium1.html,4
1548427853677,2544,HTTP Request medium2,200,Thread Group traccia1 misto 1-14,true,1018167,130,http://raspberrypi.local/medium2.html,5
1548427856187,153,HTTP Request small1,200,Thread Group traccia1 misto 1-30,true,25314,129,http://raspberrypi.local/small1.html,107
1548427856451,157,HTTP Request small2,200,Thread Group traccia1 misto 1-34,true,100309,129,http://raspberrypi.local/small2.html,4
1548427854629,2193,HTTP Request medium2,200,Thread Group traccia1 misto 1-28,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427854712,2135,HTTP Request medium2,200,Thread Group traccia1 misto 1-6,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427855637,1682,HTTP Request medium2,200,Thread Group traccia1 misto 1-22,true,1018167,130,http://raspberrypi.local/medium2.html,5
1548427853379,4196,HTTP Request big1,200,Thread Group traccia1 misto 1-15,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427857477,273,HTTP Request small2,200,Thread Group traccia1 misto 1-19,true,100309,129,http://raspberrypi.local/small2.html,5
1548427857467,290,HTTP Request small2,200,Thread Group traccia1 misto 1-17,true,100309,129,http://raspberrypi.local/small2.html,4
1548427853578,4206,HTTP Request big1,200,Thread Group traccia1 misto 1-12,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427857563,253,HTTP Request small2,200,Thread Group traccia1 misto 1-32,true,100309,129,http://raspberrypi.local/small2.html,4
1548427853617,4219,HTTP Request big1,200,Thread Group traccia1 misto 1-21,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427856272,1732,HTTP Request medium2,200,Thread Group traccia1 misto 1-20,true,1018167,130,http://raspberrypi.local/medium2.html,29
1548427856467,1669,HTTP Request medium2,200,Thread Group traccia1 misto 1-33,true,1018167,130,http://raspberrypi.local/medium2.html,5
1548427858424,10,HTTP Request small1,200,Thread Group traccia1 misto 1-9,true,25314,129,http://raspberrypi.local/small1.html,4
1548427858486,9,HTTP Request small1,200,Thread Group traccia1 misto 1-13,true,25314,129,http://raspberrypi.local/small1.html,5
1548427854937,3737,HTTP Request big1,200,Thread Group traccia1 misto 1-7,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427855151,3676,HTTP Request big1,200,Thread Group traccia1 misto 1-2,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427858926,8,HTTP Request small1,200,Thread Group traccia1 misto 1-14,true,25314,129,http://raspberrypi.local/small1.html,4
1548427858866,329,HTTP Request small2,200,Thread Group traccia1 misto 1-21,true,100309,129,http://raspberrypi.local/small2.html,4
1548427858977,261,HTTP Request small2,200,Thread Group traccia1 misto 1-3,true,100309,129,http://raspberrypi.local/small2.html,4
1548427858219,1092,HTTP Request medium1,200,Thread Group traccia1 misto 1-10,true,500266,130,http://raspberrypi.local/medium1.html,4
1548427857381,1938,HTTP Request medium2,200,Thread Group traccia1 misto 1-1,true,1018167,130,http://raspberrypi.local/medium2.html,3
1548427859080,279,HTTP Request small2,200,Thread Group traccia1 misto 1-16,true,100309,129,http://raspberrypi.local/small2.html,4
1548427857412,1992,HTTP Request medium2,200,Thread Group traccia1 misto 1-8,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427857521,1960,HTTP Request medium2,200,Thread Group traccia1 misto 1-23,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427858678,999,HTTP Request medium1,200,Thread Group traccia1 misto 1-24,true,500266,130,http://raspberrypi.local/medium1.html,4
1548427859698,136,HTTP Request small2,200,Thread Group traccia1 misto 1-29,true,100309,129,http://raspberrypi.local/small2.html,4
1548427858827,1044,HTTP Request medium1,200,Thread Group traccia1 misto 1-12,true,500266,130,http://raspberrypi.local/medium1.html,3
1548427858888,1071,HTTP Request medium1,200,Thread Group traccia1 misto 1-5,true,500266,130,http://raspberrypi.local/medium1.html,4
1548427859878,187,HTTP Request small2,200,Thread Group traccia1 misto 1-28,true,100309,129,http://raspberrypi.local/small2.html,4
1548427860400,209,HTTP Request small2,200,Thread Group traccia1 misto 1-2,true,100309,129,http://raspberrypi.local/small2.html,4
1548427860713,18,HTTP Request small1,200,Thread Group traccia1 misto 1-4,true,25314,129,http://raspberrypi.local/small1.html,3
1548427860887,24,HTTP Request small1,200,Thread Group traccia1 misto 1-22,true,25314,129,http://raspberrypi.local/small1.html,3
1548427859168,1794,HTTP Request medium2,200,Thread Group traccia1 misto 1-25,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427860220,827,HTTP Request medium1,200,Thread Group traccia1 misto 1-27,true,500266,130,http://raspberrypi.local/medium1.html,4
1548427857473,3645,HTTP Request big1,200,Thread Group traccia1 misto 1-18,true,2035951,127,http://raspberrypi.local/big1.html,5
1548427857517,3641,HTTP Request big1,200,Thread Group traccia1 misto 1-26,true,2035951,127,http://raspberrypi.local/big1.html,5
1548427859500,1667,HTTP Request medium2,200,Thread Group traccia1 misto 1-35,true,1018167,130,http://raspberrypi.local/medium2.html,4
1548427858181,3349,HTTP Request big1,200,Thread Group traccia1 misto 1-11,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427861437,115,HTTP Request small2,200,Thread Group traccia1 misto 1-30,true,100309,129,http://raspberrypi.local/small2.html,4
1548427858499,3191,HTTP Request big1,200,Thread Group traccia1 misto 1-31,true,2035951,127,http://raspberrypi.local/big1.html,4
1548427861701,13,HTTP Request small1,200,Thread Group traccia1 misto 1-34,true,25314,129,http://raspberrypi.local/small1.html,5
