Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
5 thread:small2 5 thread,43,119,43,175,"22,86","0,000%",",14620","14,32","0,02","100309,0"
5 thread:medium1 5 thread,42,365,184,480,"75,36","0,000%",",13984","68,32","0,02","500266,0"
5 thread:big1 5 thread,43,1032,606,1569,"267,57","0,000%",",14295","284,22","0,02","2035951,0"
5 thread:big2 5 thread,43,1936,1016,2986,"548,88","0,000%",",14564","707,94","0,02","4977620,0"
5 thread:medium2 5 thread,50,615,325,903,"121,32","0,000%",",16971","168,74","0,02","1018167,0"
5 thread:small1 5 thread,34,40,14,136,"22,01","0,000%",",12878","3,18","0,02","25314,0"
TOTAL,255,707,14,2986,"691,56","0,000%",",84773","1229,37","0,11","1485008,0"
