Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request small1 90 req/min,365,118,8,349,"96,35","0,000%","1,21575","30,05","0,15","25314,0"
HTTP Request small2 90 req/min,368,415,41,764,"185,07","0,000%","1,22359","119,86","0,15","100309,0"
HTTP Request medium1 90 req/min,341,1382,210,2441,"478,33","0,000%","1,12880","551,46","0,14","500266,0"
HTTP Request medium2 90 req/min,345,2449,431,4256,"778,42","0,000%","1,13783","1131,34","0,14","1018167,0"
HTTP Request big1 90 req/min,370,3693,738,6554,"1086,79","0,000%","1,21555","2416,80","0,15","2035951,0"
TOTAL,1789,1609,8,6554,"1485,07","0,000%","5,87735","4239,13","0,72","738576,6"
