Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request small1 100 req/min,421,78,8,2019,"127,27","0,000%","1,40221","34,66","0,17","25314,0"
HTTP Request small2 100 req/min,403,285,24,2993,"303,54","0,000%","1,34041","131,30","0,16","100309,0"
HTTP Request medium1 100 req/min,403,1058,89,4463,"665,31","0,000%","1,33424","651,83","0,16","500266,0"
HTTP Request medium2 100 req/min,395,1887,171,6628,"922,32","0,000%","1,30393","1296,50","0,16","1018167,0"
HTTP Request big1 100 req/min,397,3244,341,9655,"1493,66","0,000%","1,30722","2599,05","0,16","2035951,0"
TOTAL,2019,1291,8,9655,"1433,30","0,000%","6,64794","4704,74","0,81","724684,2"
