Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request small1 120 req/min,457,41,7,326,"55,66","0,000%","1,52239","37,63","0,19","25314,0"
HTTP Request small2 120 req/min,432,284,24,636,"96,23","0,000%","1,43700","140,77","0,18","100309,0"
HTTP Request medium1 120 req/min,443,1418,127,2266,"429,91","0,000%","1,46664","716,52","0,18","500266,0"
HTTP Request medium2 120 req/min,433,2805,212,4323,"790,41","0,000%","1,42797","1419,83","0,18","1018167,0"
HTTP Request big1 120 req/min,476,5665,806,7979,"1462,74","0,000%","1,56394","3109,47","0,19","2035951,0"
TOTAL,2241,2089,7,7979,"2236,57","0,000%","7,36299","5411,26","0,90","752565,3"
