Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request small1 30 req/min,69,1246,8,4976,"1668,64","0,000%",",22974","5,68","0,03","25314,0"
HTTP Request small2 30 req/min,55,1668,140,5068,"1542,22","0,000%",",18292","17,92","0,02","100309,0"
HTTP Request medium2 30 req/min,57,2586,785,5701,"1280,23","0,000%",",18828","187,21","0,02","1018167,0"
HTTP Request medium1 30 req/min,68,2045,92,5449,"1464,78","0,000%",",22539","110,11","0,03","500266,0"
HTTP Request big1 30 req/min,51,3226,345,5875,"1321,29","0,000%",",16787","333,76","0,02","2035951,0"
TOTAL,300,2096,8,5875,"1622,98","0,000%",",98744","652,99","0,12","677169,2"
