Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
35 thread:small1 35 thread,224,60,8,1607,"115,49","0,000%",",74656","18,46","0,09","25314,0"
35 thread:small2 35 thread,209,422,175,907,"118,05","0,000%",",69561","68,14","0,09","100309,0"
35 thread:medium1 35 thread,183,2080,1210,3012,"371,05","0,000%",",60468","295,41","0,08","500266,0"
35 thread:medium2 35 thread,227,4086,2974,5811,"623,87","0,000%",",74828","744,01","0,09","1018167,0"
35 thread:big1 35 thread,219,8108,5531,10832,"1132,37","0,000%",",71447","1420,54","0,09","2035951,0"
35 thread:big2 1 thread,188,20477,9581,24625,"2321,68","0,000%",",61093","2969,68","0,08","4977620,0"
TOTAL,1250,5628,8,24625,"6908,93","0,000%","4,06200","5493,14","0,51","1384778,7"
