Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
1 thread:small1 1 thread,10,32,9,112,"39,93","0,000%",",03472","0,86","0,00","25314,0"
1 thread:medium2 1 thread,9,201,195,214,"5,46","0,000%",",03569","35,48","0,00","1018167,0"
1 thread:medium1 1 thread,8,102,98,117,"6,02","0,000%",",02777","13,57","0,00","500266,0"
1 thread:small2 1 thread,11,28,27,33,"1,72","0,000%",",04263","4,18","0,01","100309,0"
1 thread:big2 1 thread,5,888,876,922,"16,99","0,000%",",02305","112,07","0,00","4977620,0"
1 thread:big1 1 thread,8,382,375,404,"8,86","0,000%",",03803","75,61","0,00","2035951,0"
TOTAL,51,211,9,922,"255,50","0,000%",",16995","181,25","0,02","1092115,3"
