Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
50 thread:small1 50 thread,165,100,8,3071,"250,00","0,000%",",55421","13,70","0,07","25314,0"
50 thread:small2 50 thread,182,806,398,3801,"303,09","0,000%",",60466","59,23","0,08","100309,0"
50 thread:medium1 50 thread,197,4006,2821,4791,"349,27","0,000%",",64736","316,26","0,08","500266,0"
50 thread:medium2 50 thread,200,8185,5866,9320,"682,81","0,000%",",65051","646,80","0,08","1018167,0"
50 thread:big1 50 thread,186,16515,13111,18351,"998,41","0,000%",",59384","1180,70","0,07","2035951,0"
50 thread:big2 50 thread,192,39459,20232,44893,"4194,90","0,000%",",60455","2938,69","0,07","4977620,0"
TOTAL,1122,11798,8,44893,"13807,01","0,000%","3,53279","5101,22","0,44","1478617,4"
