Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request small1 50 req/min,147,223,62,360,"76,65","0,000%",",48952","12,10","0,06","25314,0"
HTTP Request small2 50 req/min,170,630,461,803,"71,19","0,000%",",56528","55,37","0,07","100309,0"
HTTP Request medium1 50 req/min,141,1914,1150,2618,"256,90","0,000%",",46769","228,49","0,06","500266,0"
HTTP Request medium2 50 req/min,168,3034,1674,3860,"397,17","0,000%",",55602","552,85","0,07","1018167,0"
HTTP Request big1 50 req/min,154,4156,2010,5709,"696,65","0,000%",",50822","1010,45","0,06","2035951,0"
TOTAL,780,1999,62,5709,"1515,77","0,000%","2,57400","1855,93","0,31","738333,0"
