Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request small1 110 req/min,422,42,8,358,"62,07","0,000%","1,40543","34,74","0,17","25314,0"
HTTP Request small2 110 req/min,456,215,24,766,"134,24","0,000%","1,51731","148,63","0,19","100309,0"
HTTP Request medium1 110 req/min,423,1067,90,2358,"518,79","0,000%","1,39902","683,48","0,17","500266,0"
HTTP Request medium2 110 req/min,446,2034,171,4101,"956,75","0,000%","1,46800","1459,64","0,18","1018167,0"
HTTP Request big1 110 req/min,460,3943,344,7683,"1772,88","0,000%","1,50899","3000,23","0,18","2035951,0"
TOTAL,2207,1490,8,7683,"1726,51","0,000%","7,23958","5313,40","0,88","751552,3"
