Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
40 thread:medium1 40 thread,1023,3410,1122,4465,"377,30","0,000%","3,38087","1651,69","0,43","500266,0"
40 thread:medium2 40 thread,1001,5265,3639,7043,"560,62","0,000%","3,29478","3276,01","0,42","1018167,0"
TOTAL,2024,4327,1122,7043,"1042,64","0,000%","6,66197","4921,02","0,85","756401,8"
