Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
35 thread:medium1 35 thread,861,3343,2808,3619,"103,45","0,000%","2,83716","1386,07","0,36","500266,0"
35 thread:medium2 35 thread,924,4939,4422,5402,"208,36","0,000%","3,02756","3010,32","0,38","1018167,0"
TOTAL,1785,4169,2808,5402,"814,44","0,000%","5,84870","4388,56","0,74","768355,9"
