Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
45 thread:medium1 45 thread,1024,3612,2577,4897,"327,53","0,000%","3,37357","1648,13","0,43","500266,0"
45 thread:medium2 45 thread,1045,7225,4486,8441,"517,76","0,000%","3,43160","3412,05","0,44","1018167,0"
TOTAL,2069,5437,2577,8441,"1858,00","0,000%","6,79423","5054,83","0,86","761844,8"
