Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
5 thread:medium1 5 thread,136,460,396,566,"20,89","0,000%",",45261","221,12","0,06","500266,0"
5 thread:medium2 5 thread,119,689,540,810,"70,17","0,000%",",39582","393,56","0,05","1018167,0"
TOTAL,255,567,396,810,"124,94","0,000%",",84818","614,56","0,11","741953,1"
